,Time To Goal,MSE,Model,Trial
14397,0.85,0.7628886699676514,MP-S1,719
14398,0.9,0.7389698624610901,MP-S1,719
14399,1.0,0.5452494621276855,MP-S1,719
14400,0.0,1.5381617546081543,MP-S1,720
14401,0.05,1.5381617546081543,MP-S1,720
14402,0.1,1.6865909099578857,MP-S1,720
14403,0.15,1.4070309400558472,MP-S1,720
14404,0.2,1.6212610006332397,MP-S1,720
14405,0.25,2.1007018089294434,MP-S1,720
14406,0.3,2.411534070968628,MP-S1,720
14407,0.35,2.658806085586548,MP-S1,720
14408,0.4,2.9010634422302246,MP-S1,720
14409,0.45,3.166125774383545,MP-S1,720
14410,0.5,3.236769437789917,MP-S1,720
14411,0.55,3.117656946182251,MP-S1,720
14412,0.6,2.648510456085205,MP-S1,720
14413,0.65,2.522096872329712,MP-S1,720
14414,0.7,2.232064723968506,MP-S1,720
14415,0.75,1.6536086797714233,MP-S1,720
14416,0.8,1.2998361587524414,MP-S1,720
14417,0.85,0.2532811462879181,MP-S1,720
14418,0.9,0.2530740797519684,MP-S1,720
14419,1.0,0.2357233166694641,MP-S1,720
14420,0.0,1.3321974277496338,MP-S1,721
14421,0.05,1.6192492246627808,MP-S1,721
14422,0.1,0.4508747160434723,MP-S1,721
14423,0.15,0.42736876010894775,MP-S1,721
14424,0.2,0.44922834634780884,MP-S1,721
14425,0.25,0.6173185110092163,MP-S1,721
14426,0.3,0.5899555683135986,MP-S1,721
14427,0.35,0.7292183041572571,MP-S1,721
14428,0.4,0.988555371761322,MP-S1,721
14429,0.45,1.3269481658935547,MP-S1,721
14430,0.5,1.5292466878890991,MP-S1,721
14431,0.55,1.5290184020996094,MP-S1,721
14432,0.6,1.451303243637085,MP-S1,721
14433,0.65,1.487485647201538,MP-S1,721
14434,0.7,1.551607608795166,MP-S1,721
14435,0.75,1.4591093063354492,MP-S1,721
14436,0.8,1.3565727472305298,MP-S1,721
14437,0.85,1.2845453023910522,MP-S1,721
14438,0.9,1.2040959596633911,MP-S1,721
14439,1.0,0.9435304999351501,MP-S1,721
14440,0.0,0.9135948419570923,MP-S1,722
14441,0.05,0.9135948419570923,MP-S1,722
14442,0.1,1.0129798650741577,MP-S1,722
14443,0.15,1.0129798650741577,MP-S1,722
14444,0.2,1.0874032974243164,MP-S1,722
14445,0.25,1.0874032974243164,MP-S1,722
14446,0.3,1.17141854763031,MP-S1,722
14447,0.35,1.17141854763031,MP-S1,722
14448,0.4,1.2673462629318237,MP-S1,722
14449,0.45,1.2673462629318237,MP-S1,722
14450,0.5,1.365983009338379,MP-S1,722
14451,0.55,1.4619258642196655,MP-S1,722
14452,0.6,1.5196354389190674,MP-S1,722
14453,0.65,0.9457005262374878,MP-S1,722
14454,0.7,0.29715487360954285,MP-S1,722
14455,0.75,0.29433929920196533,MP-S1,722
14456,0.8,0.34697869420051575,MP-S1,722
14457,0.85,0.33961960673332214,MP-S1,722
14458,0.9,0.38623136281967163,MP-S1,722
14459,1.0,0.4421384632587433,MP-S1,722
14460,0.0,0.5421559810638428,MP-S1,723
14461,0.05,0.6374217867851257,MP-S1,723
14462,0.1,0.7383713126182556,MP-S1,723
14463,0.15,0.6014753580093384,MP-S1,723
14464,0.2,0.028172994032502174,MP-S1,723
14465,0.25,0.41839540004730225,MP-S1,723
14466,0.3,0.7561676502227783,MP-S1,723
14467,0.35,1.0465937852859497,MP-S1,723
14468,0.4,1.3712108135223389,MP-S1,723
14469,0.45,1.6444135904312134,MP-S1,723
14470,0.5,1.3550643920898438,MP-S1,723
14471,0.55,1.3881986141204834,MP-S1,723
14472,0.6,0.6545647382736206,MP-S1,723
14473,0.65,0.6182700991630554,MP-S1,723
14474,0.7,0.5664903521537781,MP-S1,723
14475,0.75,0.6228513121604919,MP-S1,723
14476,0.8,0.6491699814796448,MP-S1,723
14477,0.85,0.6845064759254456,MP-S1,723
