,accuracy,precision,recall,model,epoch,dataset,ADE,FDE
75,0.4301512321945146,0.4238733705772812,0.9918947184939864,MP DS1000,/mnt/fs2/locross/analysis/models/mp_ds1000/mp_ds1000_epoch29999,swm_data.pkl,8.374449729919434,9.237068176269531
76,0.44758138342670917,0.43150269286201925,0.9915461042356633,MP DS5000,/mnt/fs2/locross/analysis/models/mp_ds5000/mp_ds5000_epoch11600,swm_data.pkl,7.216437816619873,7.958624362945557
77,0.6155113698780622,0.5240803006329114,0.9237406309918076,MP DS10000,/mnt/fs2/locross/analysis/models/mp_ds10000/mp_ds10000_epoch6000,swm_data.pkl,6.301732540130615,7.000176906585693
78,0.6708044966860742,0.5700270635994588,0.8811225379118006,MP DS20000,10000,swm_data.pkl,5.411702632904053,6.180006504058838
79,0.7229484785235637,0.6315470580315067,0.8175875893324037,MP DS30000,/mnt/fs2/locross/analysis/models/mp_ds30000/mp_ds30000_epoch9000,swm_data.pkl,5.399001598358154,6.051864147186279
80,0.6953385330843311,0.5943520402058154,0.8657835105455813,MP-S1,/mnt/fs2/locross/analysis/models/mp_mlp_2048_lr3e-4_s1/mp_mlp_2048_lr3e-4_s1_epoch29999,swm_data.pkl,5.317995071411133,6.029424667358398
81,0.6617964773517888,0.5571559914189397,0.950671082447272,MP DS1e5,/mnt/fs2/locross/analysis/models/mp_ds1e5/mp_ds1e5_epoch2400,swm_data.pkl,4.175762176513672,5.212918758392334
82,0.46102017649859023,0.43723647054272563,0.9850967404566847,Deter. Event Model DS 5000,/mnt/fs2/locross/analysis/models/em_deter_5000/mp_model_epoch8200,swm_data.pkl,6.7966742515563965,7.389313697814941
83,0.7310044307737376,0.6452907222300437,0.7989367265121143,Deter. Event Model DS 30000,/mnt/fs2/locross/analysis/models/em_deter_30000/mp_model_epoch1400,swm_data.pkl,5.045619010925293,5.527372360229492
84,0.6771027866271193,0.5789254724830619,0.8489628725814886,Event Model No Horizon,/mnt/fs2/locross/analysis/models/emodel_no_horizon/mp_model_epoch18200,swm_data.pkl,5.781032562255859,6.312103271484375
85,0.4644256472225274,0.43839899937460913,0.9775143803381559,Stoch. Event Model DS 5000,/mnt/fs2/locross/analysis/models/em_stoch_5000/mp_model_epoch7800,swm_data.pkl,7.208418369293213,8.172819137573242
86,0.7749459885019591,0.7561538461538462,0.6853756318633432,Stoch. Event Model DS 30000,/mnt/fs2/locross/analysis/models/em_stoch_30000/mp_model_epoch1600,swm_data.pkl,5.17006778717041,5.787857532501221
87,0.7187007946098356,0.6281947261663287,0.8097437685201325,Event Model Stochastic,/mnt/fs2/locross/analysis/models/em_stoch_beta100/mp_model_epoch20600,swm_data.pkl,5.226506233215332,5.916714668273926
